Pkts_Per_Sec,KBits_Per_Sec,Pkt_Size_Avg,Pkt_Size_Std,Pkt_Size_Q1,Pkt_Size_Q2,Pkt_Size_Q3,Pkt_Size_Min,Pkt_Size_Max,Anomaly
0.40057097707529093,0.12818271266409312,40.0,0.0,40.0,40.0,40.0,40,40,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.40009474243500864,4.445852777937816,1389.0,0.0,1389.0,1389.0,1389.0,1389,1389,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
0.40009123872651714,4.138543773387093,1293.0,0.0,1293.0,1293.0,1293.0,1293,1293,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
2.0,1.888,118.0,0.0,118.0,118.0,118.0,118,118,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.4015579574960732,0.12849854639874342,40.0,0.0,40.0,40.0,40.0,40,40,0
1.9888068465699267,1.2410154722596343,78.0,0.0,78.0,78.0,78.0,78,78,0
0.4000948243938365,4.445853688664311,1389.0,0.0,1389.0,1389.0,1389.0,1389,1389,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.4000929803283308,4.340208650601733,1356.0,0.0,1356.0,1356.0,1356.0,1356,1356,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
12.0,9.6,100.0,10.392304845413264,97.0,97.0,97.0,97,133,0
0.40133669649632164,4.459653371467126,1389.0,0.0,1389.0,1389.0,1389.0,1389,1389,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
14.0,5.632,50.285714285714285,4.3576382352153775,52.0,52.0,52.0,40,52,0
